id,season_id,date,location,phase,team1_id,team2_id,score1,score2,created_by_id,created_at,technical_winner_team_id
85,eb19f900-c99f-486f-8930-6b56a74293d6,2026-07-10 14:00:00+00,מגרש כדורגל,group,1,8,4,3,,2026-07-07 11:13:19.148,
86,eb19f900-c99f-486f-8930-6b56a74293d6,2026-07-10 14:00:00+00,מגרש כדורגל,group,2,7,1,1,,2026-07-07 11:13:19.148,
87,eb19f900-c99f-486f-8930-6b56a74293d6,2026-07-10 15:00:00+00,מגרש כדורגל,group,3,6,3,4,,2026-07-07 11:13:19.148,
88,eb19f900-c99f-486f-8930-6b56a74293d6,2026-07-10 15:00:00+00,מגרש כדורגל,group,4,5,3,1,,2026-07-07 11:13:19.148,
89,eb19f900-c99f-486f-8930-6b56a74293d6,2026-07-11 14:00:00+00,מגרש כדורגל צפון,group,1,7,2,8,,2026-07-07 11:13:19.148,
90,eb19f900-c99f-486f-8930-6b56a74293d6,2026-07-11 14:00:00+00,מגרש כדורגל דרום,group,8,6,0,0,,2026-07-07 11:13:19.148,6
91,eb19f900-c99f-486f-8930-6b56a74293d6,2026-07-11 15:00:00+00,מגרש כדורגל צפון,group,2,5,1,2,,2026-07-07 11:13:19.148,
92,eb19f900-c99f-486f-8930-6b56a74293d6,2026-07-11 15:00:00+00,מגרש כדורגל דרום,group,3,4,3,1,,2026-07-07 11:13:19.148,
93,eb19f900-c99f-486f-8930-6b56a74293d6,2026-07-17 14:00:00+00,מגרש כדורגל דרום,group,1,6,3,4,,2026-07-07 11:13:19.148,
95,eb19f900-c99f-486f-8930-6b56a74293d6,2026-07-17 14:00:00+00,מגרש כדורגל צפון,group,8,4,2,5,,2026-07-07 11:13:19.148,
94,eb19f900-c99f-486f-8930-6b56a74293d6,2026-07-17 15:00:00+00,מגרש כדורגל צפון,group,7,5,3,3,,2026-07-07 11:13:19.148,
96,eb19f900-c99f-486f-8930-6b56a74293d6,2026-07-17 15:00:00+00,מגרש כדורגל דרום,group,2,3,1,1,,2026-07-07 11:13:19.148,
97,eb19f900-c99f-486f-8930-6b56a74293d6,2026-07-18 14:00:00+00,מגרש כדורגל,group,1,5,1,4,,2026-07-07 11:13:19.148,
98,eb19f900-c99f-486f-8930-6b56a74293d6,2026-07-18 14:00:00+00,מגרש כדורגל,group,6,4,2,1,,2026-07-07 11:13:19.148,
99,eb19f900-c99f-486f-8930-6b56a74293d6,2026-07-18 15:00:00+00,מגרש כדורגל,group,7,3,3,2,,2026-07-07 11:13:19.148,
100,eb19f900-c99f-486f-8930-6b56a74293d6,2026-07-18 15:00:00+00,מגרש כדורגל,group,8,2,1,8,,2026-07-07 11:13:19.148,
102,eb19f900-c99f-486f-8930-6b56a74293d6,2026-07-24 14:00:00+00,מגרש כדורגל צפוני,group,5,3,2,1,,2026-07-07 11:13:19.148,
104,eb19f900-c99f-486f-8930-6b56a74293d6,2026-07-24 14:00:00+00,מגרש כדורגל דרומי,group,7,8,6,0,,2026-07-07 11:13:19.148,
101,eb19f900-c99f-486f-8930-6b56a74293d6,2026-07-24 15:00:00+00,מגרש כדורגל דרומי,group,1,4,2,5,,2026-07-07 11:13:19.148,
103,eb19f900-c99f-486f-8930-6b56a74293d6,2026-07-24 15:00:00+00,מגרש כדורגל צפוני,group,6,2,2,1,,2026-07-07 11:13:19.148,
106,eb19f900-c99f-486f-8930-6b56a74293d6,2026-07-25 14:00:00+00,מגרש כדורגל צפוני,group,4,2,0,0,,2026-07-07 11:13:19.148,
107,eb19f900-c99f-486f-8930-6b56a74293d6,2026-07-25 14:00:00+00,מגרש כדורגל דרומי,group,5,8,0,0,,2026-07-07 11:13:19.148,
105,eb19f900-c99f-486f-8930-6b56a74293d6,2026-07-25 15:00:00+00,מגרש כדורגל צפוני,group,1,3,0,0,,2026-07-07 11:13:19.148,
108,eb19f900-c99f-486f-8930-6b56a74293d6,2026-07-25 15:00:00+00,מגרש כדורגל דרומי,group,6,7,0,0,,2026-07-07 11:13:19.148,
109,eb19f900-c99f-486f-8930-6b56a74293d6,2026-07-31 14:00:00+00,מגרש כדורגל דרומי,group,1,2,0,0,,2026-07-07 11:13:19.148,
110,eb19f900-c99f-486f-8930-6b56a74293d6,2026-07-31 14:00:00+00,מגרש כדורגל צפוני,group,3,8,0,0,,2026-07-07 11:13:19.148,
111,eb19f900-c99f-486f-8930-6b56a74293d6,2026-07-31 15:00:00+00,מגרש כדורגל דרומי,group,4,7,0,0,,2026-07-07 11:13:19.148,
112,eb19f900-c99f-486f-8930-6b56a74293d6,2026-07-31 15:00:00+00,מגרש כדורגל צפוני,group,5,6,0,0,,2026-07-07 11:13:19.148,
