id,season_id,title,message,date,priority,created_by_id,created_at
14,eb19f900-c99f-486f-8930-6b56a74293d6,עדכון טורניר,"ריחאניה לוקחת פלייאוף עליון, איטליה לוקחת תחתון.
סלמתו, תודה רבה לכם.",2026-08-09 00:00:00+00,normal,,2026-08-09 07:25:32.74
13,eb19f900-c99f-486f-8930-6b56a74293d6,עדכון טורניר,"מתין חורשיד מ-F.
C ריחאניה כבש שני שערים.
הוא עומד כעת על 12 שערים בטורניר.",2026-08-01 16:24:29.657+00,normal,,2026-08-01 16:24:29.66
12,eb19f900-c99f-486f-8930-6b56a74293d6,עדכון טורניר,"F.
C ריחאנייה טיפסה למקום השני בטבלה עם 14 נקודות לאחר שצברה 3, ודחקה את הפטישים למקום השלישי ואת פנמה לרביעי.
מתין חורשיד מ-F.
C ריחאנייה כבש צמד והגיע ל-10 שערים, ועלי תחאוכו מגרמניה הוסיף שער ועלה ל-7.",2026-08-01 15:32:43.406+00,normal,,2026-08-01 15:32:43.409
11,eb19f900-c99f-486f-8930-6b56a74293d6,עדכון טורניר,"מרוקו הוסיפה 3 נקודות, עומדת על 21 בראש הטבלה.
גרמניה עם נקודה אחת נוספת מגיעה ל-8 נקודות במקום החמישי, ואיטליה עם 3 נקודות נוספות מגיעה גם היא ל-8 נקודות במקום השישי.
כף ורדה רושמת נקודה ראשונה בטורניר, סך הכל 1 נקודות במקום השמיני.",2026-07-31 14:54:12.167+00,normal,,2026-07-31 14:54:12.171
10,eb19f900-c99f-486f-8930-6b56a74293d6,עדכון טורניר,"מרוקו מוליכה את הטבלה עם 18 נקודות לאחר ניצחון נוסף.
הפטישים ופנמה זינקו למקומות השני והשלישי עם 13 ו-12 נקודות בהתאמה, וגרמניה עלתה לחמישי עם 7 נקודות.
F.C ריחאניה ואיטליה יורדות בטבלה, וארי ממקסיקו כובש את שערו השישי ומצתרף למלכי שערים.",2026-07-26 00:00:00+00,normal,,2026-07-26 05:26:14.451
9,eb19f900-c99f-486f-8930-6b56a74293d6,עדכון טורניר,"מרוקו עם 3 נקודות נוספות, עומדת כעת על 15 נקודות ובמקום הראשון.
פנמה מצרפת 3 נקודות למאזנה, מגיעה ל-9 נקודות ומתמקמת במקום הרביעי.",2026-07-24 16:32:46.83+00,normal,,2026-07-24 16:32:46.833
8,eb19f900-c99f-486f-8930-6b56a74293d6,עדכון טורניר,"F.
C ריחאניה מוסיפה 3 נקודות, עומדת על 11 ומתבססת במקום השני.
הפטישים צמצמו פערים עם 3 נקודות נוספות, מגיעים ל-10 נקודות ועולים למקום השלישי.
מתין חורשיד מF.
C ריחאניה כובש צמד, והוא כעת עם 8 שערים בטורניר.",2026-07-24 14:50:41.393+00,normal,,2026-07-24 14:50:41.396
7,eb19f900-c99f-486f-8930-6b56a74293d6,עדכון טורניר,"מרוקו עומדת בראש הטבלה עם 12 נקודות, כש-F.
C RIHANIYA והפטישים קפצו למקומות 2 ו-3 עם 8 ו-7 נקודות בהתאמה, לאחר שכל אחת מהן הוסיפה 3 נקודות.
איטליה התקדמה למקום החמישי עם 5 נקודות, בזמן שפנמה, גרמניה ומקסיקו נסוגו למקומות 4, 6 ו-7.
מתין חורשיד מ-F.
C RIHANIYA כבש שער אחד וכעת עומד על 6 שערים.",2026-07-18 15:51:04.62+00,normal,,2026-07-18 15:51:04.622
6,eb19f900-c99f-486f-8930-6b56a74293d6,עדכון טורניר,"מרוקו מתבססת בפסגת הטבלה עם 9 נקודות.
פנמה קופצת למקום השני עם 6 נקודות, ואחריה F.
C RIHANIYA וגרמניה במקומות 3 ו-4 עם 5 ו-4 נקודות בהתאמה.
הפטישים (4 נקודות) ואיטליה (2 נקודות) אף הן הוסיפו נקודות, וסאם לבאי ומתין חורשיד כבשו שער ועלו ל-5 כיבושים כל אחד.

לינקים לאלבום תמונות של המשחקים בפינה ימנית",2026-07-17 00:00:00+00,normal,,2026-07-17 16:07:58.58
4,eb19f900-c99f-486f-8930-6b56a74293d6,עדכון טורניר,"מרוקו טיפסה למקום הראשון עם 6 נקודות לאחר שצברה 3 נקודות, ו-F.
C ריחנייה עלתה למקום השני עם 4 נקודות.
פנמה נכנסה למקום השלישי עם 4 נקודות, בעוד מקסיקו ירדה לרביעי וכף ורדה לשמיני.
איטליה, גרמניה והפטישים הוסיפו נקודה והתייצבו במקומות 5, 6 ו-7 בהתאמה, כשסאם לבאי ממקסיקו כובש צמד ומגיע ל-4 שערים.",2026-07-11 15:39:20.856+00,normal,,2026-07-11 15:39:20.859
