id,user_id,season_id,team_id,status,owner_reviewed_at,owner_reviewed_by,admin_reviewed_at,admin_reviewed_by,created_at,requested_member_id
c4595c37-184e-45a8-bfb9-0f3c2206e089,780acbbd-088a-46aa-978f-589d53a8d503,eb19f900-c99f-486f-8930-6b56a74293d6,1,invalidated,,,,,2026-06-27 16:14:35.269,
5e760e78-817f-4b88-8b64-aee79e3c3b93,2e6b91ab-a507-415f-9203-52b935e4adbe,eb19f900-c99f-486f-8930-6b56a74293d6,2,approved,2026-06-29 18:59:14.588,6fd358f1-2fa5-44c6-8d00-627c67e7499d,2026-06-29 18:59:39.876,780acbbd-088a-46aa-978f-589d53a8d503,2026-06-29 12:11:57.07,
f96f6fdd-7efc-4655-bc89-f7785beea562,625b010e-8ea2-42a6-a932-3b47c16fb45d,eb19f900-c99f-486f-8930-6b56a74293d6,1,approved,2026-06-30 13:39:35.546,c70d4e9a-c225-456a-88d9-cd3ff49fe475,2026-06-30 13:55:09.259,780acbbd-088a-46aa-978f-589d53a8d503,2026-06-29 18:50:07.653,
41b6c910-d8e4-4394-972d-ac1b0a2383c7,780acbbd-088a-46aa-978f-589d53a8d503,eb19f900-c99f-486f-8930-6b56a74293d6,1,invalidated,,,,,2026-06-29 20:39:30.753,
10b4099c-6de7-4875-aed9-49c1fcfc1aae,943779d6-420f-4586-b5a3-35665485a51a,eb19f900-c99f-486f-8930-6b56a74293d6,1,approved,2026-06-30 13:39:36.782,c70d4e9a-c225-456a-88d9-cd3ff49fe475,2026-06-30 13:55:12.593,780acbbd-088a-46aa-978f-589d53a8d503,2026-06-30 13:18:39.633,
a3e90b23-17e0-46dd-ae48-efd094984c26,780acbbd-088a-46aa-978f-589d53a8d503,eb19f900-c99f-486f-8930-6b56a74293d6,1,invalidated,,,,,2026-07-01 20:41:16.217,
8da15621-7ba2-4211-9053-b172061497e2,64676ff0-8e70-4096-882c-70ba5006f1e5,eb19f900-c99f-486f-8930-6b56a74293d6,2,approved,2026-07-07 09:19:21.565,6fd358f1-2fa5-44c6-8d00-627c67e7499d,2026-07-07 09:36:37.266,a558ca06-1402-4cee-9a43-7b81e7bc7972,2026-07-03 19:51:13.281,
b842ffcf-ad57-4c92-93d6-70f1c85bc75e,a558ca06-1402-4cee-9a43-7b81e7bc7972,eb19f900-c99f-486f-8930-6b56a74293d6,3,invalidated,,,,,2026-07-05 18:04:19.841,
4975882b-7d17-44d1-8158-d17c228c02d5,a558ca06-1402-4cee-9a43-7b81e7bc7972,eb19f900-c99f-486f-8930-6b56a74293d6,3,invalidated,,,,,2026-07-05 18:04:21.993,
e6583ae6-7df3-4e03-b1aa-087bf0bbdad2,34fd1814-40c4-462a-9e6a-48c4ed2a618d,eb19f900-c99f-486f-8930-6b56a74293d6,7,approved,,,2026-07-10 16:50:17.632,780acbbd-088a-46aa-978f-589d53a8d503,2026-07-10 16:48:11.341,
2464eaa5-171c-4eda-b9e8-ef8c713d4621,586615cb-a866-44fd-b605-196446ca434c,eb19f900-c99f-486f-8930-6b56a74293d6,7,approved,2026-07-10 17:32:52.305,34fd1814-40c4-462a-9e6a-48c4ed2a618d,2026-07-10 17:34:09.504,780acbbd-088a-46aa-978f-589d53a8d503,2026-07-10 17:08:08.837,
ef2dde3e-afdc-4092-b7a3-cf3ee64bf415,e3bbc334-6fbb-45ab-b3a6-878e25dd5a58,eb19f900-c99f-486f-8930-6b56a74293d6,7,approved,2026-07-10 17:32:54.436,34fd1814-40c4-462a-9e6a-48c4ed2a618d,2026-07-10 17:34:11.829,780acbbd-088a-46aa-978f-589d53a8d503,2026-07-10 17:15:38.991,
62e45248-1eac-4cdb-acd7-7924aef065d6,07b13303-9290-4eaa-a8e6-69f2cf436eef,eb19f900-c99f-486f-8930-6b56a74293d6,7,approved,2026-07-10 17:32:56.315,34fd1814-40c4-462a-9e6a-48c4ed2a618d,2026-07-10 17:34:07.838,780acbbd-088a-46aa-978f-589d53a8d503,2026-07-10 17:16:47.355,
7c046243-6173-48dd-ad7b-71f2045afc46,6a83e88f-093f-4245-80fe-96a582907ab8,eb19f900-c99f-486f-8930-6b56a74293d6,7,approved,2026-07-10 19:17:08.843,34fd1814-40c4-462a-9e6a-48c4ed2a618d,2026-07-10 20:53:48.239,780acbbd-088a-46aa-978f-589d53a8d503,2026-07-10 17:58:47.453,
8be3e9b4-4838-4102-ae53-11ff754338dc,00727432-ed8f-42b3-9b72-0847edd1cb89,eb19f900-c99f-486f-8930-6b56a74293d6,7,invalidated,,,,,2026-07-10 18:31:00.051,
b7fdca2a-3557-4288-bf17-92c3e9d3a1dc,00727432-ed8f-42b3-9b72-0847edd1cb89,eb19f900-c99f-486f-8930-6b56a74293d6,7,approved,2026-07-10 19:17:07.612,34fd1814-40c4-462a-9e6a-48c4ed2a618d,2026-07-10 20:53:52.106,780acbbd-088a-46aa-978f-589d53a8d503,2026-07-10 18:46:11.893,
b78d0516-0257-4d8e-bb9d-0e8cca386ca4,75913215-6cfc-4b3f-8989-1f3645c2ad81,eb19f900-c99f-486f-8930-6b56a74293d6,7,approved,2026-07-10 19:22:49.598,34fd1814-40c4-462a-9e6a-48c4ed2a618d,2026-07-10 20:53:55.739,780acbbd-088a-46aa-978f-589d53a8d503,2026-07-10 19:19:35.142,
9e05a8cf-e466-40f2-8f24-5a526d2941e0,7f2315f2-93d4-491b-81d7-45aec282ebb0,eb19f900-c99f-486f-8930-6b56a74293d6,7,approved,2026-07-10 19:22:47.636,34fd1814-40c4-462a-9e6a-48c4ed2a618d,2026-07-10 20:53:59.881,780acbbd-088a-46aa-978f-589d53a8d503,2026-07-10 19:22:35.497,
a9464c38-9982-43d6-adf1-66b6c9ae70d1,6fbefd15-90ba-4144-9a07-3cbc63704942,eb19f900-c99f-486f-8930-6b56a74293d6,7,approved,2026-07-10 19:36:34.996,34fd1814-40c4-462a-9e6a-48c4ed2a618d,2026-07-10 20:54:05.069,780acbbd-088a-46aa-978f-589d53a8d503,2026-07-10 19:30:43.705,
9c3b51ea-318c-4f7d-a296-74be4e9f4bec,9bd9aebd-9f2d-4fec-9c4d-659607cbb2b0,eb19f900-c99f-486f-8930-6b56a74293d6,3,approved,,,2026-07-15 15:46:31.694,780acbbd-088a-46aa-978f-589d53a8d503,2026-07-15 15:45:55.233,15
65904543-fff4-4645-8db3-56b9e4a14779,9626cce5-108e-4f87-affe-50915b268f29,eb19f900-c99f-486f-8930-6b56a74293d6,3,invalidated,,,,,2026-07-23 21:06:52.619,26
